"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2019","69,543.0","71,328.0","71,328.0","69,543.0","258.74K","-1.82%"
"08/28/2019","70,832.0","71,130.0","71,428.0","70,039.0","195.86K","0.56%"
"08/27/2019","70,436.0","70,237.0","71,428.0","70,237.0","427.86K","0.28%"
"08/26/2019","70,237.0","71,626.0","71,626.0","70,237.0","710.58K","-2.72%"
"08/23/2019","72,200.0","73,100.0","74,000.0","72,200.0","228.09K","-1.23%"
"08/22/2019","73,100.0","73,100.0","73,700.0","72,300.0","411.94K","0.00%"
"08/21/2019","73,100.0","74,300.0","75,000.0","73,000.0","519.95K","-1.35%"
"08/20/2019","74,100.0","73,000.0","74,300.0","72,300.0","615.84K","3.20%"
"08/19/2019","71,800.0","72,000.0","72,400.0","71,500.0","176.39K","0.28%"
"08/16/2019","71,600.0","72,700.0","73,000.0","71,600.0","256.20K","-0.56%"
"08/15/2019","72,000.0","68,300.0","72,000.0","67,500.0","965.55K","4.05%"
"08/14/2019","69,200.0","70,100.0","71,700.0","68,500.0","515.28K","-1.14%"
"08/13/2019","70,000.0","72,500.0","72,500.0","69,700.0","786.51K","-3.45%"
"08/12/2019","72,500.0","75,300.0","75,300.0","72,500.0","660.45K","-3.72%"
"08/09/2019","75,300.0","75,300.0","76,700.0","75,300.0","334.52K","0.13%"
"08/08/2019","75,200.0","75,600.0","76,300.0","75,200.0","232.05K","-0.53%"
"08/07/2019","75,600.0","74,600.0","75,900.0","73,500.0","590.39K","0.40%"
"08/06/2019","75,300.0","74,700.0","76,600.0","74,200.0","719.90K","-0.40%"
"08/05/2019","75,600.0","75,000.0","75,800.0","72,600.0","584.51K","2.16%"
"08/02/2019","74,000.0","72,000.0","74,100.0","72,000.0","794.67K","2.49%"
"08/01/2019","72,200.0","70,000.0","72,500.0","70,000.0","892.67K","3.74%"
"07/31/2019","69,600.0","67,100.0","69,600.0","66,800.0","440.80K","3.11%"
"07/30/2019","67,500.0","68,600.0","69,600.0","67,500.0","532.88K","-1.60%"
"07/29/2019","68,600.0","68,500.0","69,400.0","68,200.0","363.62K","-0.58%"
"07/26/2019","69,000.0","68,300.0","69,600.0","68,300.0","657.12K","0.29%"
"07/25/2019","68,800.0","70,500.0","70,800.0","68,800.0","731.89K","-2.41%"
"07/24/2019","70,500.0","69,900.0","71,500.0","68,500.0","992.29K","1.00%"
"07/23/2019","69,800.0","68,300.0","69,900.0","68,200.0","1.19M","3.41%"
"07/22/2019","67,500.0","65,000.0","67,500.0","65,000.0","944.47K","3.85%"
"07/19/2019","65,000.0","66,000.0","67,600.0","65,000.0","775.01K","0.93%"
"07/18/2019","64,400.0","61,400.0","64,500.0","61,300.0","1.01M","4.72%"
"07/17/2019","61,500.0","62,000.0","62,000.0","61,200.0","285.07K","-0.65%"
"07/16/2019","61,900.0","61,000.0","62,300.0","61,000.0","451.35K","1.81%"
"07/15/2019","60,800.0","59,700.0","61,200.0","59,700.0","477.44K","1.84%"
"07/12/2019","59,700.0","60,000.0","60,300.0","59,600.0","281.24K","-0.17%"
"07/11/2019","59,800.0","60,000.0","60,800.0","59,400.0","503.47K","0.00%"
"07/10/2019","59,800.0","60,000.0","61,200.0","59,600.0","430.01K","0.34%"
"07/09/2019","59,600.0","58,500.0","59,600.0","58,100.0","1.11M","1.71%"
"07/08/2019","58,600.0","58,500.0","59,500.0","58,200.0","607.45K","-3.30%"
"07/05/2019","60,600.0","61,100.0","61,500.0","60,600.0","555.30K","-0.66%"
"07/04/2019","61,000.0","59,200.0","61,400.0","59,200.0","922.40K","2.52%"
"07/03/2019","59,500.0","59,500.0","60,200.0","58,900.0","404.71K","0.00%"
"07/02/2019","59,500.0","59,300.0","60,400.0","59,100.0","468.31K","0.34%"
"07/01/2019","59,300.0","59,500.0","59,800.0","59,000.0","308.85K","-3.10%"
"06/28/2019","61,200.0","57,500.0","61,200.0","57,100.0","395.93K","6.25%"
"06/27/2019","57,600.0","58,300.0","58,600.0","57,600.0","283.89K","-0.52%"
"06/26/2019","57,900.0","58,000.0","58,000.0","57,300.0","182.54K","0.87%"
"06/25/2019","57,400.0","57,000.0","57,800.0","56,700.0","140.14K","0.70%"
"06/24/2019","57,000.0","58,800.0","58,900.0","56,900.0","573.23K","-3.23%"
"06/21/2019","58,900.0","58,700.0","59,000.0","58,200.0","416.81K","0.17%"
"06/20/2019","58,800.0","58,700.0","59,300.0","58,700.0","389.59K","0.34%"
"06/19/2019","58,600.0","56,200.0","58,600.0","56,200.0","399.63K","4.64%"
"06/18/2019","56,000.0","56,000.0","56,300.0","55,700.0","153.27K","0.36%"
"06/17/2019","55,800.0","56,000.0","56,500.0","55,000.0","429.58K","-0.36%"
"06/14/2019","56,000.0","57,800.0","57,800.0","56,000.0","396.54K","-2.61%"
"06/13/2019","57,500.0","57,500.0","58,200.0","57,100.0","190.92K","1.23%"
"06/12/2019","56,800.0","56,500.0","58,200.0","56,500.0","302.28K","-0.18%"
"06/11/2019","56,900.0","58,900.0","59,200.0","56,900.0","439.47K","-2.74%"
"06/10/2019","58,500.0","58,900.0","59,100.0","58,100.0","269.58K","0.86%"
"06/07/2019","58,000.0","57,200.0","58,100.0","56,800.0","297.40K","2.65%"
"06/06/2019","56,500.0","57,000.0","57,500.0","56,100.0","718.31K","-0.18%"
"06/05/2019","56,600.0","55,900.0","56,900.0","55,500.0","913.44K","2.91%"
"06/04/2019","55,000.0","54,000.0","55,500.0","54,000.0","362.56K","1.85%"
"06/03/2019","54,000.0","55,900.0","56,000.0","54,000.0","864.81K","-3.40%"
"05/31/2019","55,900.0","58,400.0","59,000.0","55,700.0","715.30K","-3.79%"
"05/30/2019","58,100.0","58,000.0","59,200.0","56,500.0","609.35K","0.17%"
"05/29/2019","58,000.0","61,000.0","61,800.0","58,000.0","1.37M","-6.45%"
"05/28/2019","62,000.0","61,600.0","63,000.0","61,500.0","618.00K","0.65%"
"05/27/2019","61,600.0","59,200.0","61,600.0","59,200.0","800.66K","4.05%"
"05/24/2019","59,200.0","60,000.0","61,000.0","59,200.0","557.88K","-1.33%"
"05/23/2019","60,000.0","57,200.0","60,000.0","56,800.0","550.00K","4.17%"
"05/22/2019","57,600.0","58,800.0","59,300.0","57,600.0","338.78K","-2.04%"
"05/21/2019","58,800.0","60,000.0","60,000.0","58,600.0","305.97K","-1.01%"
"05/20/2019","59,400.0","55,700.0","59,500.0","55,700.0","829.58K","6.64%"
"05/17/2019","55,700.0","56,000.0","57,400.0","55,600.0","759.20K","0.00%"
"05/16/2019","55,700.0","55,000.0","56,300.0","54,500.0","496.29K","0.54%"
"05/15/2019","55,400.0","55,500.0","56,300.0","55,300.0","391.03K","-0.18%"
"05/14/2019","55,500.0","54,200.0","56,300.0","54,000.0","474.46K","2.59%"
"05/13/2019","54,100.0","51,100.0","54,100.0","51,000.0","1.19M","5.87%"
"05/10/2019","51,100.0","51,200.0","51,500.0","49,600.0","175.20K","-0.78%"
"05/09/2019","51,500.0","51,800.0","51,800.0","51,000.0","145.54K","-0.39%"
"05/08/2019","51,700.0","51,400.0","51,900.0","51,200.0","95.38K","-0.39%"
"05/07/2019","51,900.0","50,800.0","53,000.0","50,600.0","335.61K","2.57%"
"05/06/2019","50,600.0","49,600.0","50,600.0","49,200.0","868.63K","0.00%"
"05/03/2019","50,600.0","51,600.0","51,700.0","50,400.0","277.17K","-1.94%"
"05/02/2019","51,600.0","52,000.0","52,100.0","51,500.0","360.63K","-0.77%"
"04/26/2019","52,000.0","50,000.0","52,000.0","50,000.0","291.84K","3.38%"
"04/25/2019","50,300.0","50,600.0","50,900.0","50,000.0","279.93K","-0.79%"
"04/24/2019","50,700.0","49,000.0","50,700.0","49,000.0","269.54K","3.47%"
"04/23/2019","49,000.0","49,300.0","49,300.0","48,000.0","250.70K","1.03%"
"04/22/2019","48,500.0","50,000.0","50,000.0","47,700.0","324.19K","-3.00%"
"04/19/2019","50,000.0","50,000.0","50,500.0","49,700.0","113.59K","0.00%"
"04/18/2019","50,000.0","50,500.0","50,700.0","49,800.0","222.58K","-0.99%"
"04/17/2019","50,500.0","50,600.0","50,900.0","49,500.0","480.67K","0.00%"
"04/16/2019","50,500.0","50,600.0","51,000.0","50,200.0","361.24K","-1.56%"
"04/12/2019","51,300.0","50,600.0","51,300.0","50,300.0","209.79K","0.00%"
"04/11/2019","51,300.0","51,500.0","51,500.0","50,400.0","112.32K","-0.39%"
"04/10/2019","51,500.0","50,500.0","51,500.0","50,100.0","249.90K","1.18%"
"04/09/2019","50,900.0","52,000.0","52,100.0","50,000.0","1.22M","-2.68%"
"04/08/2019","52,300.0","53,300.0","53,300.0","52,000.0","322.65K","-1.13%"
"04/05/2019","52,900.0","53,500.0","53,600.0","52,500.0","189.23K","-0.75%"
"04/04/2019","53,300.0","52,300.0","53,800.0","52,300.0","338.95K","1.52%"
"04/03/2019","52,500.0","52,000.0","52,600.0","51,200.0","417.29K","0.57%"
"04/02/2019","52,200.0","53,100.0","53,100.0","52,100.0","269.99K","-0.57%"
"04/01/2019","52,500.0","52,900.0","52,900.0","51,800.0","753.26K","-0.19%"
"03/29/2019","52,600.0","52,000.0","53,400.0","52,000.0","524.40K","1.15%"
"03/28/2019","52,000.0","49,900.0","52,000.0","49,200.0","350.56K","3.17%"
"03/27/2019","50,400.0","48,900.0","50,400.0","47,900.0","645.28K","5.22%"
"03/26/2019","47,900.0","50,000.0","50,500.0","46,100.0","944.05K","-3.23%"
"03/25/2019","49,500.0","50,800.0","54,400.0","49,500.0","1.25M","-6.95%"
"03/22/2019","53,200.0","56,200.0","58,500.0","52,400.0","1.89M","-5.34%"
"03/21/2019","56,200.0","54,000.0","56,900.0","54,000.0","950.82K","4.07%"
"03/20/2019","54,000.0","52,500.0","54,000.0","52,400.0","866.10K","1.89%"
"03/19/2019","53,000.0","51,600.0","53,500.0","51,300.0","945.59K","3.31%"
"03/18/2019","51,300.0","49,300.0","51,300.0","49,000.0","1.11M","4.27%"
"03/15/2019","49,200.0","49,200.0","49,300.0","48,500.0","640.79K","0.41%"
"03/14/2019","49,000.0","50,000.0","50,900.0","49,000.0","854.69K","-1.80%"
"03/13/2019","49,900.0","48,500.0","50,100.0","48,450.0","688.95K","1.53%"
"03/12/2019","49,150.0","49,100.0","49,300.0","48,700.0","385.47K","0.31%"
"03/11/2019","49,000.0","48,200.0","49,500.0","47,400.0","784.18K","3.38%"
"03/08/2019","47,400.0","44,750.0","47,400.0","44,000.0","906.91K","5.92%"
"03/07/2019","44,750.0","45,700.0","45,700.0","44,750.0","718.83K","-2.08%"
"03/06/2019","45,700.0","45,600.0","45,700.0","43,700.0","892.94K","0.00%"
"03/05/2019","45,700.0","46,000.0","46,500.0","45,500.0","538.88K","-0.65%"
"03/04/2019","46,000.0","45,500.0","46,300.0","45,400.0","543.45K","1.32%"
"03/01/2019","45,400.0","44,500.0","46,000.0","44,400.0","579.66K","3.18%"
"02/28/2019","44,000.0","45,000.0","45,100.0","44,000.0","638.58K","-2.22%"
"02/27/2019","45,000.0","43,900.0","45,000.0","43,500.0","509.33K","2.51%"
"02/26/2019","43,900.0","42,900.0","43,900.0","42,600.0","630.56K","2.09%"
"02/25/2019","43,000.0","41,000.0","43,000.0","40,500.0","660.27K","6.17%"
"02/22/2019","40,500.0","39,600.0","40,500.0","38,800.0","867.96K","2.02%"
"02/21/2019","39,700.0","39,900.0","40,000.0","38,800.0","487.58K","-0.50%"
"02/20/2019","39,900.0","40,000.0","40,300.0","39,350.0","307.32K","0.25%"
"02/19/2019","39,800.0","39,700.0","40,200.0","39,500.0","651.50K","0.76%"
"02/18/2019","39,500.0","38,200.0","40,000.0","38,200.0","970.03K","3.40%"
"02/15/2019","38,200.0","37,400.0","38,350.0","37,300.0","412.38K","1.60%"
"02/14/2019","37,600.0","37,950.0","37,950.0","37,300.0","294.29K","-0.92%"
"02/13/2019","37,950.0","37,650.0","38,200.0","37,550.0","446.89K","0.93%"
"02/12/2019","37,600.0","36,600.0","37,800.0","36,500.0","655.16K","3.16%"
"02/11/2019","36,450.0","35,700.0","36,500.0","35,000.0","229.31K","2.53%"
"02/01/2019","35,550.0","34,600.0","35,550.0","34,600.0","132.03K","0.14%"
"01/31/2019","35,500.0","35,900.0","35,900.0","35,000.0","117.05K","-1.11%"
"01/30/2019","35,900.0","36,000.0","36,000.0","35,500.0","155.75K","0.00%"
"01/29/2019","35,900.0","35,000.0","36,000.0","34,500.0","192.15K","2.87%"
"01/28/2019","34,900.0","35,300.0","35,500.0","34,000.0","593.97K","-1.97%"
"01/25/2019","35,600.0","35,900.0","36,100.0","35,500.0","89.60K","-0.84%"
"01/24/2019","35,900.0","36,100.0","36,200.0","35,600.0","102.68K","-0.83%"
"01/23/2019","36,200.0","35,450.0","36,500.0","35,200.0","579.26K","1.97%"
"01/22/2019","35,500.0","35,950.0","36,100.0","35,500.0","129.39K","-1.66%"
"01/21/2019","36,100.0","36,000.0","36,150.0","35,350.0","243.25K","0.28%"
"01/18/2019","36,000.0","34,800.0","36,000.0","33,950.0","251.87K","3.75%"
"01/17/2019","34,700.0","35,900.0","35,950.0","33,800.0","1.02M","-3.61%"
"01/16/2019","36,000.0","36,200.0","36,500.0","35,850.0","356.81K","-1.37%"
"01/15/2019","36,500.0","36,800.0","36,800.0","36,000.0","402.48K","0.00%"
"01/14/2019","36,500.0","36,000.0","36,800.0","36,000.0","206.65K","1.39%"
"01/11/2019","36,000.0","35,100.0","36,200.0","34,500.0","254.12K","2.56%"
"01/10/2019","35,100.0","35,050.0","36,200.0","35,050.0","149.12K","-0.57%"
"01/09/2019","35,300.0","35,000.0","35,300.0","34,400.0","202.56K","0.86%"
"01/08/2019","35,000.0","35,300.0","35,500.0","33,200.0","660.35K","0.00%"
"01/07/2019","35,000.0","34,950.0","37,000.0","34,500.0","596.06K","1.01%"
"01/04/2019","34,650.0","33,450.0","34,650.0","33,000.0","230.00K","2.06%"
"01/03/2019","33,950.0","33,800.0","33,950.0","33,000.0","224.65K","-0.15%"
"01/02/2019","34,000.0","33,500.0","34,150.0","33,050.0","292.75K","1.64%"
"12/28/2018","33,450.0","32,500.0","33,850.0","32,000.0","894.04K","2.92%"
"12/27/2018","32,500.0","32,000.0","32,700.0","31,800.0","193.37K","2.20%"
"12/26/2018","31,800.0","31,800.0","32,400.0","31,350.0","115.84K","0.00%"
"12/25/2018","31,800.0","31,200.0","32,400.0","31,000.0","193.91K","-2.90%"
"12/24/2018","32,750.0","32,950.0","32,950.0","31,800.0","214.82K","-0.61%"
"12/21/2018","32,950.0","32,450.0","33,200.0","31,850.0","486.47K","1.38%"
"12/20/2018","32,500.0","31,500.0","32,500.0","31,450.0","635.30K","3.17%"
"12/19/2018","31,500.0","30,200.0","31,500.0","29,900.0","542.84K","3.28%"
"12/18/2018","30,500.0","29,500.0","30,500.0","29,500.0","394.33K","0.00%"
"12/17/2018","30,500.0","29,600.0","30,900.0","29,550.0","138.30K","2.01%"
"12/14/2018","29,900.0","30,600.0","30,600.0","29,800.0","107.11K","-1.97%"
"12/13/2018","30,500.0","31,000.0","31,000.0","30,100.0","204.22K","0.99%"
"12/12/2018","30,200.0","29,628.0","30,200.0","29,628.0","252.17K","1.28%"
"12/11/2018","29,819.0","29,771.0","30,152.0","29,771.0","121.40K","-1.26%"
"12/10/2018","30,200.0","30,295.0","30,486.0","29,819.0","111.08K","-1.25%"
"12/07/2018","30,581.0","30,295.0","30,772.0","29,866.0","445.20K","0.16%"
"12/06/2018","30,533.0","30,295.0","30,772.0","30,105.0","197.25K","0.47%"
"12/05/2018","30,390.0","30,581.0","30,772.0","30,010.0","249.27K","-1.55%"
"12/04/2018","30,867.0","30,867.0","31,057.0","30,438.0","396.75K","0.00%"
"12/03/2018","30,867.0","30,486.0","31,057.0","30,010.0","962.23K","2.86%"
"11/30/2018","30,010.0","28,819.0","30,010.0","27,628.0","352.15K","-1.28%"
"11/29/2018","30,400.0","31,300.0","31,900.0","30,000.0","251.21K","-3.49%"
"11/28/2018","31,500.0","31,600.0","31,900.0","31,000.0","172.11K","-1.41%"
"11/27/2018","31,950.0","32,000.0","32,100.0","31,400.0","254.16K","-0.16%"
"11/26/2018","32,000.0","31,100.0","32,000.0","30,600.0","297.47K","2.89%"
"11/23/2018","31,100.0","32,000.0","32,000.0","31,100.0","331.39K","-2.81%"
"11/22/2018","32,000.0","32,000.0","32,450.0","31,400.0","349.93K","0.00%"
"11/21/2018","32,000.0","31,900.0","32,200.0","31,400.0","295.44K","0.31%"
"11/20/2018","31,900.0","30,700.0","31,900.0","30,400.0","714.79K","3.91%"
"11/19/2018","30,700.0","30,900.0","31,000.0","30,300.0","442.33K","-0.97%"
"11/16/2018","31,000.0","31,000.0","31,800.0","30,700.0","451.57K","0.49%"
"11/15/2018","30,850.0","31,000.0","31,400.0","30,800.0","255.83K","0.00%"
"11/14/2018","30,850.0","29,400.0","31,000.0","29,200.0","1.15M","5.65%"
"11/13/2018","29,200.0","28,350.0","29,200.0","28,000.0","962.00K","2.10%"
"11/12/2018","28,600.0","28,900.0","28,900.0","28,500.0","86.77K","-1.04%"
"11/09/2018","28,900.0","28,400.0","29,000.0","28,400.0","39.67K","-0.34%"
"11/08/2018","29,000.0","29,200.0","29,400.0","29,000.0","82.17K","-0.68%"
"11/07/2018","29,200.0","29,100.0","29,700.0","28,900.0","110.53K","-0.34%"
"11/06/2018","29,300.0","29,600.0","29,700.0","29,000.0","48.52K","-1.68%"
"11/05/2018","29,800.0","28,500.0","29,800.0","28,500.0","78.86K","3.11%"
"11/02/2018","28,900.0","27,800.0","30,000.0","27,800.0","259.24K","2.30%"
"11/01/2018","28,250.0","28,500.0","28,500.0","28,000.0","66.06K","-0.88%"
"10/31/2018","28,500.0","27,000.0","28,900.0","27,000.0","343.51K","3.26%"
"10/30/2018","27,600.0","27,500.0","27,950.0","27,400.0","294.55K","-1.78%"
"10/29/2018","28,100.0","27,750.0","28,100.0","27,600.0","263.08K","0.18%"
"10/26/2018","28,050.0","28,200.0","28,900.0","28,050.0","109.18K","-0.53%"
"10/25/2018","28,200.0","28,200.0","28,200.0","27,050.0","553.70K","0.36%"
"10/24/2018","28,100.0","28,300.0","29,200.0","28,000.0","300.16K","-2.09%"
"10/23/2018","28,700.0","28,500.0","28,800.0","27,900.0","431.99K","-0.35%"
"10/22/2018","28,800.0","29,000.0","29,400.0","28,800.0","300.23K","-1.37%"
"10/19/2018","29,200.0","28,100.0","29,350.0","28,100.0","334.86K","0.34%"
"10/18/2018","29,100.0","29,200.0","29,500.0","28,800.0","337.57K","0.00%"
"10/17/2018","29,100.0","29,500.0","30,200.0","29,000.0","352.82K","-0.68%"
"10/16/2018","29,300.0","27,900.0","29,300.0","27,800.0","658.71K","3.90%"
"10/15/2018","28,200.0","27,650.0","28,450.0","27,250.0","491.04K","1.81%"
"10/12/2018","27,700.0","26,100.0","28,150.0","26,100.0","614.83K","4.92%"
"10/11/2018","26,400.0","27,000.0","27,600.0","26,200.0","1.17M","-5.71%"
"10/10/2018","28,000.0","28,800.0","28,800.0","27,900.0","739.42K","-1.75%"
"10/09/2018","28,500.0","28,800.0","29,100.0","28,500.0","560.30K","-1.72%"
"10/08/2018","29,000.0","28,000.0","29,800.0","27,600.0","1.08M","1.93%"
"10/05/2018","28,450.0","27,650.0","28,800.0","27,600.0","793.96K","2.89%"
"10/04/2018","27,650.0","26,950.0","27,700.0","26,950.0","446.05K","3.17%"
"10/03/2018","26,800.0","26,800.0","27,000.0","26,700.0","302.14K","0.00%"
"10/02/2018","26,800.0","26,700.0","27,300.0","26,700.0","457.98K","-0.56%"
"10/01/2018","26,950.0","27,000.0","27,100.0","26,650.0","847.11K","1.32%"
"09/28/2018","26,600.0","26,800.0","26,950.0","26,500.0","520.38K","-1.12%"
"09/27/2018","26,900.0","27,450.0","27,450.0","26,750.0","515.37K","-2.00%"
"09/26/2018","27,450.0","27,500.0","27,900.0","27,000.0","495.71K","1.67%"
"09/25/2018","27,000.0","26,250.0","28,050.0","26,250.0","573.98K","2.86%"
"09/24/2018","26,250.0","26,200.0","26,500.0","26,100.0","207.19K","-0.57%"
"09/21/2018","26,400.0","26,750.0","26,800.0","26,400.0","701.17K","-1.31%"
"09/20/2018","26,750.0","26,500.0","27,000.0","26,400.0","302.19K","0.94%"
"09/19/2018","26,500.0","27,100.0","27,200.0","26,500.0","548.67K","-2.21%"
"09/18/2018","27,100.0","26,800.0","27,200.0","26,300.0","608.43K","1.12%"
"09/17/2018","26,800.0","25,800.0","27,000.0","25,800.0","922.83K","4.08%"
"09/14/2018","25,750.0","24,850.0","25,800.0","24,850.0","600.85K","3.62%"
"09/13/2018","24,850.0","24,900.0","25,000.0","24,400.0","112.26K","-0.20%"
"09/12/2018","24,900.0","24,350.0","24,900.0","24,250.0","86.27K","1.63%"
"09/11/2018","24,500.0","24,650.0","24,650.0","24,000.0","123.10K","-0.61%"
"09/10/2018","24,650.0","25,000.0","25,150.0","24,650.0","225.56K","-1.40%"
"09/07/2018","25,000.0","24,500.0","25,000.0","24,200.0","178.05K","1.83%"
"09/06/2018","24,550.0","24,950.0","24,950.0","24,550.0","71.55K","-1.60%"
"09/05/2018","24,950.0","24,500.0","25,150.0","24,500.0","404.44K","-0.20%"
"09/04/2018","25,000.0","25,250.0","25,500.0","24,500.0","160.41K","-0.99%"
"08/31/2018","25,250.0","25,500.0","25,700.0","25,250.0","101.91K","-0.79%"
"08/30/2018","25,450.0","25,200.0","25,700.0","25,200.0","181.59K","0.99%"
"08/29/2018","25,200.0","25,400.0","25,700.0","25,100.0","502.57K","-1.95%"
"08/28/2018","25,700.0","25,500.0","25,700.0","25,200.0","391.05K","0.78%"
"08/27/2018","25,500.0","25,700.0","25,950.0","25,350.0","220.20K","-1.92%"
"08/24/2018","26,000.0","26,200.0","26,400.0","25,650.0","227.25K","0.00%"
