date,PHR,VNIndex
04/13/2022,81200,1477.199951171875
04/12/2022,77000,1455.25
04/08/2022,78800,1482
04/07/2022,77900,1502.349975585938
04/06/2022,82400,1522.900024414063
04/05/2022,84000,1520.030029296875
04/04/2022,85000,1524.699951171875
04/01/2022,80800,1516.43994140625
03/31/2022,80800,1492.150024414063
03/30/2022,79500,1490.510009765625
03/29/2022,80500,1497.760009765625
03/28/2022,79700,1483.180053710938
03/25/2022,77600,1498.5
03/24/2022,77100,1498.260009765625
03/23/2022,77300,1502.339965820313
03/22/2022,75800,1503.780029296875
03/21/2022,77100,1494.949951171875
03/18/2022,76500,1469.099975585938
03/17/2022,75900,1461.339965820313
03/16/2022,74400,1459.329956054688
03/15/2022,75600,1452.739990234375
03/14/2022,74400,1446.25
03/11/2022,74500,1466.5400390625
03/10/2022,77900,1479.079956054688
03/09/2022,78500,1473.739990234375
03/08/2022,78600,1473.7099609375
03/07/2022,81500,1499.050048828125
03/04/2022,81500,1505.329956054688
03/03/2022,81500,1505
03/02/2022,79000,1485.52001953125
03/01/2022,80300,1498.780029296875
02/28/2022,80300,1490.130004882813
02/25/2022,81900,1498.890014648438
02/24/2022,82500,1494.849975585938
02/23/2022,83000,1512.300048828125
02/22/2022,83500,1503.469970703125
02/21/2022,81000,1510.839965820313
02/18/2022,81000,1504.839965820313
02/17/2022,81800,1507.989990234375
02/16/2022,81500,1492.099975585938
02/15/2022,84400,1492.75
02/14/2022,84600,1471.9599609375
02/11/2022,84400,1501.7099609375
02/10/2022,82400,1506.7900390625
02/09/2022,80000,1505.380004882813
02/08/2022,80200,1500.989990234375
02/07/2022,80200,1497.660034179688
01/28/2022,78400,1478.9599609375
01/27/2022,79000,1470.760009765625
01/26/2022,78200,1481.579956054688
01/25/2022,79500,1479.579956054688
01/24/2022,74300,1439.7099609375
01/21/2022,79800,1472.890014648438
01/20/2022,81900,1465.300048828125
01/19/2022,79100,1442.7900390625
01/18/2022,74000,1438.93994140625
01/17/2022,74000,1452.839965820313
01/14/2022,79400,1496.02001953125
01/13/2022,79000,1496.050048828125
01/12/2022,82000,1510.510009765625
01/11/2022,78500,1492.31005859375
01/10/2022,77700,1503.7099609375
01/07/2022,78000,1528.47998046875
01/06/2022,78100,1528.569946289063
01/05/2022,73000,1522.5
01/04/2022,72100,1525.579956054688
12/31/2021,71300,1498.280029296875
12/30/2021,70800,1485.969970703125
12/29/2021,70800,1485.819946289063
12/28/2021,71700,1494.390014648438
12/27/2021,72000,1488.880004882813
12/24/2021,73600,1477.030029296875
12/23/2021,75000,1456.9599609375
12/22/2021,73000,1477.670043945313
12/21/2021,71700,1478.739990234375
12/20/2021,71200,1477.329956054688
12/17/2021,73000,1479.7900390625
12/16/2021,72000,1476.609985351563
12/15/2021,70600,1475.5
12/14/2021,70021,1476.02001953125
12/13/2021,70600,1476.2099609375
12/10/2021,69441,1463.5400390625
12/09/2021,65674,1467.97998046875
12/08/2021,63743,1452.869995117188
12/07/2021,63839,1446.77001953125
12/06/2021,61811,1413.579956054688
12/03/2021,64033,1443.319946289063
12/02/2021,68439,1482.050048828125
12/01/2021,68720,1485.18994140625
11/30/2021,69283,1478.43994140625
11/29/2021,66001,1484.839965820313
11/26/2021,66283,1493.030029296875
11/25/2021,67033,1500.81005859375
11/24/2021,66658,1488.869995117188
11/23/2021,64783,1463.630004882813
11/22/2021,64501,1447.25
11/19/2021,69283,1452.349975585938
11/18/2021,72470,1469.829956054688
11/17/2021,70220,1475.849975585938
11/16/2021,65626,1466.449951171875
11/15/2021,65814,1476.569946289063
11/12/2021,65064,1473.369995117188
11/11/2021,65720,1462.349975585938
11/10/2021,67501,1465.02001953125
11/09/2021,65814,1461.5
11/08/2021,64033,1467.569946289063
11/05/2021,64033,1456.510009765625
11/04/2021,62157,1448.339965820313
11/03/2021,59532,1444.300048828125
11/02/2021,58689,1452.4599609375
11/01/2021,55782,1438.969970703125
10/29/2021,57189,1444.27001953125
10/28/2021,57657,1438.010009765625
